Country,Year,OfficialAnnualCases,AnnualCaseSource,AnnualCaseNotes
US,2015,20762,CDC annual pertussis surveillance tables,Official annual US pertussis total used to calibrate weekly NNDSS interval series.
US,2016,17972,CDC annual pertussis surveillance tables,Official annual US pertussis total used to calibrate weekly NNDSS interval series.
US,2017,18975,CDC annual pertussis surveillance tables,Official annual US pertussis total used to calibrate weekly NNDSS interval series.
US,2018,15609,CDC annual pertussis surveillance tables,Official annual US pertussis total used to calibrate weekly NNDSS interval series.
US,2019,18617,CDC annual pertussis surveillance tables,Official annual US pertussis total used to calibrate weekly NNDSS interval series.
US,2020,6124,CDC annual pertussis surveillance tables,Official annual US pertussis total used to calibrate weekly NNDSS interval series.
US,2021,2116,CDC annual pertussis surveillance tables,Official annual US pertussis total used to calibrate weekly NNDSS interval series.
US,2022,2388,CDC provisional pertussis surveillance report,Official annual US pertussis total used to calibrate weekly NNDSS interval series.
US,2023,5611,CDC provisional pertussis surveillance report,Official annual US pertussis total used to calibrate weekly NNDSS interval series.
US,2024,35435,CDC 2024 provisional pertussis surveillance report,Official annual US pertussis total used to calibrate weekly NNDSS interval series.
US,2025,28783,CDC 2025 provisional pertussis surveillance report,Official annual US pertussis total used to calibrate weekly NNDSS interval series.
